Year,Region 1 Cfin,Region 2 Cfin,Region 3 Cfin,Region 4 Cfin,Region 5 Cfin
1977,8.43E+05,6.35E+05,9.91E+05,NaN,9.12E+05
1978,1.37E+06,1.45E+06,2.93E+05,3.60E+05,7.41E+05
1979,1.04E+06,6.34E+05,6.43E+05,2.73E+05,3.39E+05
1980,7.74E+05,1.05E+06,9.64E+05,4.82E+05,6.26E+05
1981,1.68E+06,1.48E+06,1.48E+06,1.42E+05,3.62E+05
1982,6.65E+05,4.27E+05,50518,1.46E+05,5.58E+05
1983,3.30E+05,5.03E+05,2.57E+05,63066,1.52E+05
1984,5.73E+05,1.24E+05,5.97E+05,1.59E+05,3.48E+05
1985,1.47E+05,96015,1.08E+05,1774,2.98E+05
1986,9.41E+05,2.23E+05,4.88E+05,1041.5,1.80E+05
1987,5.20E+05,6.13E+05,8.60E+05,6.58E+05,5.06E+05
1988,39259,64529,3.16E+05,61458,97279
1989,NaN,NaN,NaN,NaN,NaN
1990,NaN,NaN,NaN,NaN,2.34E+05
1991,NaN,NaN,NaN,NaN,NaN
1992,5.13E+05,4.28E+05,6.86E+05,52912,2.97E+05
1993,1.23E+06,21902,3.70E+05,5778,2.05E+05
1994,1.17E+06,3.14E+05,7.49E+05,31422,3.41E+05
1995,9.35E+05,3.55E+05,2.76E+05,56197,2.58E+05
1996,8.92E+05,5.58E+05,2.57E+05,2.00E+05,6.30E+05
1997,8.55E+05,3.76E+05,8.50E+05,2.57E+05,2.60E+05
1998,6.64E+05,3.60E+05,3.63E+05,1.59E+05,2.51E+05
1999,5.04E+05,5.87E+05,1.57E+06,2.99E+05,2.08E+05
2000,8.12E+05,5.26E+05,7.75E+05,1.07E+05,3.66E+05
2001,1.65E+06,3.87E+05,2.20E+06,1.93E+05,4.95E+05
2002,1.68E+06,5.25E+05,1.20E+06,20706,2.95E+05
2003,4.41E+05,1.38E+05,6.68E+05,1.26E+05,5.34E+05
2004,1.24E+06,5.12E+05,4.81E+05,1.43E+05,4.25E+05
2005,3.78E+05,2.64E+05,99819,27022,3.17E+05
2006,3.78E+05,2.41E+05,75794,53296,1.88E+05
2007,5.29E+05,5.03E+05,5.91E+05,24224,3.00E+05
2008,2.28E+05,60625,83428,54772,1.59E+05
2009,3.56E+05,8.31E+05,6.88E+05,3.60E+05,4.27E+05
2010,5.25E+05,4.32E+05,3.52E+05,3.23E+05,2.03E+05
2011,1.05E+06,6.00E+05,2.11E+05,51090,2.16E+05
2012,1.74E+06,5.97E+05,3.63E+05,NaN,2.01E+05
2013,4.82E+05,2.60E+05,3.16E+05,1.98E+05,2.94E+05
2014,1.92E+06,6.63E+05,4.55E+05,5.47E+05,3.87E+05
2015,2.38E+06,1.08E+06,8.31E+05,1.33E+06,4.69E+05
2016,NaN,NaN,NaN,NaN,NaN
2017,NaN,NaN,NaN,NaN,NaN